Sample in Buffer,Sample in Window,TRIGGER,input_x0[31:0],output_x0[31:0]
412,412,0,-18284,0
413,413,0,-16298,0
414,414,0,-14296,0
415,415,0,-12280,0
416,416,0,-10252,0
417,417,0,-8214,0
418,418,0,-6167,0
419,419,0,-4115,0
420,420,0,-2059,0
421,421,0,0,0
422,422,0,2059,0
423,423,0,4115,0
424,424,0,6167,0
425,425,0,8214,0
426,426,0,10252,0
427,427,0,12280,0
428,428,0,14296,0
429,429,0,16298,0
430,430,0,18284,0
431,431,0,20252,0
432,432,0,22200,0
433,433,0,24125,0
434,434,0,26027,0
435,435,0,27904,0
436,436,0,29753,0
437,437,0,31572,0
438,438,0,33361,0
439,439,0,35116,0
440,440,0,36837,0
441,441,0,38521,0
442,442,0,40167,0
443,443,0,41774,0
444,444,0,43340,0
445,445,0,44862,0
446,446,0,46341,0
447,447,0,47774,0
448,448,0,49159,0
449,449,0,50496,0
450,450,0,51784,0
451,451,0,53020,0
452,452,0,54204,0
453,453,0,55334,0
454,454,0,56410,0
455,455,0,57430,0
456,456,0,58393,0
457,457,0,59299,0
458,458,0,60146,0
459,459,0,60934,0
460,460,0,61662,0
461,461,0,62328,0
462,462,0,62934,0
463,463,0,63477,0
464,464,0,63958,0
465,465,0,64375,0
466,466,0,64729,0
467,467,0,65019,0
468,468,0,65245,0
469,469,0,65407,0
470,470,0,65504,0
471,471,0,65536,0
472,472,0,65504,0
473,473,0,65407,0
474,474,0,65245,0
475,475,0,65019,0
476,476,0,64729,0
477,477,0,64375,0
478,478,0,63958,0
479,479,0,63477,0
480,480,0,62934,0
481,481,0,62328,0
482,482,0,61662,0
483,483,0,60934,0
484,484,0,60146,0
485,485,0,59299,0
486,486,0,58393,0
487,487,0,57430,0
488,488,0,56410,0
489,489,0,55334,0
490,490,0,54204,0
491,491,0,53020,0
492,492,0,51784,0
493,493,0,50496,0
494,494,0,49159,0
495,495,0,47774,0
496,496,0,46341,0
497,497,0,44862,0
498,498,0,43340,0
499,499,0,41774,0
500,500,0,40167,0
501,501,0,38521,0
502,502,0,36837,0
503,503,0,35116,0
504,504,0,33361,0
505,505,0,31572,0
506,506,0,29753,0
507,507,0,27904,0
508,508,0,26027,0
509,509,0,24125,0
510,510,0,22200,0
511,511,0,20252,0
512,512,1,18284,0
513,513,0,16298,0
514,514,0,14296,0
515,515,0,12280,0
516,516,0,10252,0
